"Palabra","Sinónimo"
"IAE School of Business","IAE"
"IDAES","UNSAM"
"Universidad de San Martín","UNSAM"
"Instituto de Altos Estudios en Ciencias Sociales","UNSAM"
"IAE Escuela de Negocios","IAE"
"Universidad de San Andres","UDESA"
"Universidad Nacional de Buenos Aires","UBA"
"UADE Business School","UADE"
"Universidad Católica Argentina","UCA"
"University of Buenos Aires","UBA"
"University of San Andrés","UDESA"
"Vistage Argentina","Vistage"
"VISTAGE","Vistage"
"BMW Group Latin America","BMW"
"BMW Group Latin America and the Caribbean","BMW"
"BMW Group Brasil","BMW"
"BMW de Argentina",BMW
"Pontificia Universidad Católica Argentina 'Santa María de los Buenos Aires'","UCA"
"Business University "Siglo 21"","Siglo 21"
"Autonomo Self-employed","Autónomo"
"Freelance","Autónomo"
"Self-Employed","Autónomo"
"Autonomo","Autónomo"
"Universidad Austral, Buenos Aires","Universidad Austral"
"Universidad Austral - Argentina","Universidad Austral"
"WISE Women in STEM Entrepreneurship Internship","WISE Women in STEM"
"WISE Women in STEM Entrepreneurship Part-time","WISE Women in STEM"
